Kanji,Furigana,Meaning
発色,はっしょく,rendre bien les couleurs
練習,れんしゅう,exercice
市町村,しちょうそん,"City (villes, villages)"
親子,おやこ,Parent and child
草,くさ,grass
お店,おみせ,shop
学歴,がくれき,Academic background (parcours)
県,けん,prefecture
市場,しじょう,market
安静,あんせい,rest (tranquillité)
済,すみ,done (se terminer)
後ろ,うしろ,behind
作る,つくる,make
黒髪,くろかみ,Black Hair
雲,くも,cloud
発,はつ,Departure
青信号,あおしんごう,green light
人工,じんこう,artificial
午前,ごぜん,morning
両親,りょうしん,two parents
晩,ばん,night (soir)
若,じゃく,young
開,かい,Open
英語,えいご,English
主人公,しゅじんこう,main character
場合,ばあい,case
持つ,もつ,"have, hold"
谷川,たにがわ,valley and river
売り場,うりば,guichet de vente
昼ご飯,ひるごめし,déjeuner
雨雲,あまぐも,rain clouds
語る,かたる,talk (raconter)
作家,さっか,Writer
京都府,きょうとふ,préfecture
降りる,おりる,get off
料,りょう,fee
駅前,えきまえ,In front of the station
色,いろ,color
酒飲み,さけのみみ,qqn qui boit du saké
使用,しよう,"use (utilisation, emploi)"
遠い日本,とおいにっぽん,Faraway Japan
数学,すうがく,Math
閉める,しめる,close
医,い,medicine
毎,まい,every
速い車,はやいくるま,Fast Car
白い紙,しろいかみ,white paper
限界,げんかい,limit
乗車,じょうしゃ,ride (monter à bord d'un véhicule)
好き,すき,like
教育,きょういく,education
黄,き,yellow
昼寝,ひるね,nap
朝市,あさいち,Morning Market
場,ば,ば、ジョウ
終,おわり,end
有,あり,existant
運,うん,luck
経験,けいけん,experience
東京都,とうきょうと,département de Tokyo
安心,あんしん,peace of mind (tranquillité)
兄弟,きょうだい,Brother (big and little)
主婦,しゅふ,housewife
青い海,あおいうみ,blue sea
弟,おとうと,younger brother
寺院,じいん,temple
速,そく,speed
政府,せいふ,government
飲酒,いんしゅ,état de boire de l'alcool
住所,じゅうしょ,postal address
好,こう,good (like)
勉,つとむ,study
着物,きもの,kimono
語学,ごがく,language
食料,しょくりょう,food
白米,はくまい,white rice
乗客,じょうきゃく,passenger
着る,きる,wear
真っ赤,まっか,bright red
最終,さいしゅう,Final
