japanese/_name,japanese/__text,text/_name,text/__text
Japanese,発色,Meaning,はっしょく/ rendre bien les couleurs
Japanese,練習,Meaning,れんしゅう/ exercice
Japanese,市町村,Meaning,"しちょうそん/ City (villes, villages)"
Japanese,親子,Meaning,Parent and child
Japanese,草,Meaning,くさ、ソウ/ grass
Japanese,お店,Meaning,おみせ/ shop
Japanese,学歴,Meaning,Academic background (parcours)
Japanese,県,Meaning,prefecture
Japanese,市場,Meaning,いちば/ market
Japanese,安静,Meaning,rest (tranquillité)
Japanese,済,Meaning,す(む)、ず、サイ、ザイ/ done (se terminer)
Japanese,後ろ,Meaning,うしろ/ behind
Japanese,作る,Meaning,つくります、つくって、つくった/ make
Japanese,黒髪,Meaning,くろかみ/ Black Hair
Japanese,雲,Meaning,くも、ウン/ cloud
Japanese,発,Meaning,た(つ)、はっ(する)、ハツ、ハッ/ Departure
Japanese,青信号,Meaning,あおしんごう/ green light
Japanese,人工,Meaning,artificial
Japanese,午前,Meaning,ごぜん/ morning
Japanese,両親,Meaning,two parents
Japanese,晩,Meaning,バン/ night (soir)
Japanese,若,Meaning,わか(い)、ジャク、ニャク/ young
Japanese,開,Meaning,ひら(く)、あ(ける)、カイ/ Open
Japanese,英語,Meaning,えいご/ English
Japanese,主人公,Meaning,main character
Japanese,場合,Meaning,case
Japanese,持つ,Meaning,"もつ、もちます、もって、もった/ have, hold"
Japanese,谷川,Meaning,たにがわ/ valley and river
Japanese,売り場,Meaning,guichet de vente
Japanese,昼ご飯,Meaning,ひるごはん/ déjeuner
Japanese,雨雲,Meaning,あまぐも/ rain clouds
Japanese,語る,Meaning,かたる、かたります、かたって、かたった/ talk (raconter)
Japanese,作家,Meaning,さっか/ Writer
Japanese,京都府,Meaning,Kyoto département / préfecture
Japanese,降りる,Meaning,おりて、おりた/ get off
Japanese,料,Meaning,リョウ/ fee
Japanese,駅前,Meaning,In front of the station
Japanese,色,Meaning,いろ、ショク、シキ/ color
Japanese,酒飲み,Meaning,さけのみ/ qqn qui boit du saké
Japanese,使用,Meaning,"しよう/ use (utilisation, emploi)"
Japanese,遠い日本,Meaning,とおいにほん/ Faraway Japan
Japanese,数学,Meaning,すうがく/ Math
Japanese,閉める,Meaning,しめます、しめて、しめた/ close
Japanese,医,Meaning,イ/ medicine
Japanese,毎,Meaning,ごと、マイ/ every
Japanese,速い車,Meaning,はやいくるま/ Fast Car
Japanese,白い紙,Meaning,しろいかみ/ white paper
Japanese,限界,Meaning,limit
Japanese,乗車,Meaning,ride (monter à bord d'un véhicule)
Japanese,好き,Meaning,すき/ like
Japanese,教育,Meaning,education
Japanese,黄,Meaning,き、オウ、コウ/ yellow
Japanese,昼寝,Meaning,ひるね/ nap
Japanese,朝市,Meaning,Morning Market
Japanese,場,Meaning,place / ば、ジョウ
Japanese,終,Meaning,お(わる)、お(わり)、シュウ/ end
Japanese,有,Meaning,あ(る)、ユウ、ウ/ existant
Japanese,運,Meaning,はこ(ぶ)、ウン/ luck
Japanese,経験,Meaning,experience
Japanese,東京都,Meaning,département de Tokyo
Japanese,安心,Meaning,あんしん/ peace of mind (tranquillité)
Japanese,兄弟,Meaning,きょうだい/ Brother (big and little)
Japanese,主婦,Meaning,しゅふ/ housewife
Japanese,青い海,Meaning,あおいうみ/ blue sea
Japanese,弟,Meaning,おとうと、ダイ/ younger brother
Japanese,寺院,Meaning,temple
Japanese,速,Meaning,はや(い)、すみ(やか)、ソク、ソッ/ speed
Japanese,政府,Meaning,government
Japanese,飲酒,Meaning,いんしゅ/ état de boire de l'alcool
Japanese,住所,Meaning,postal address
Japanese,好,Meaning,す(き)、この(む)、コウ/ good (like)
Japanese,勉,Meaning,つと(める)、ベン/ study
Japanese,着物,Meaning,kimono
Japanese,語学,Meaning,ごがく/ language
Japanese,食料,Meaning,しょくりょう/ food
Japanese,白米,Meaning,はくまい/ white rice
Japanese,乗客,Meaning,passenger
Japanese,着る,Meaning,きた/ wear
Japanese,真っ赤,Meaning,bright red
Japanese,最終,Meaning,さいしゅう/ Final
Japanese,正解,Meaning,せいかい/ correct answer
Japanese,研,Meaning,と(ぐ)、ケン/ sharpen
Japanese,宿,Meaning,やど、シュク/ inn (auberge)
Japanese,空気,Meaning,くうき/ air
Japanese,案を練る,Meaning,あんをねる/ make a plan
Japanese,食前,Meaning,しょくぜん/ Before meals
Japanese,夜中,Meaning,よなか/ midnight (en pleine nuit)
Japanese,究,Meaning,きわ(める)、キュウ/ research
