Kanji,Furigana,Meaning
月,がつ,"moon, month"
木,き,"tree, wood"
学,がく,learn
帰,き,"go home, return"
見,けん,"see, watch"
川,かわ,river
飲,いん,drink
北,きた,North
生,なま,Life
石,いし,stone
元,もと,origin
暗,あん,dark
口,くち,mouth
聞,ぶん,"hear, listen, ask"
千,せん,thousand
本,ほん,Book
大,だい,"large, big"
来,らい,come
茶,ちゃ,tea
左,ひだり,left
車,くるま,car
右,みぎ,right
寺,てら,Buddhist temple
先,さき,before
竹,たけ,bamboo
足,あし,leg、food
食,しょく,eat
百,ひゃく,hundred
西,にし,West
間,かん,interval
中,なか,"middle, inside"
下,した,down
言,げん,say
友,とも,friend
校,こう,school
円,えん,round
父,ちち,father
年,ねん,year
体,からだ,body
馬,うま,Horse
休,きゅう,rest
女,おんな,female
新,しん,new
好,こう,like
高,たか,"high, tall, expensive"
耳,みみ,ear
少,しょう,"few, little"
音,おと,sound
読,どく,read
土,つち,soil
犬,いぬ,dog
手,て,hand
花,はな,flower
火,ひ,fire
林,はやし,grove(bosquet)
東,ひがし,east
水,みず,water
古,こ,old
金,きん,gold
名,めい,name
町,まち,"town, city"
雨,あめ,rain
子,こ,Child
母,はは,mother
時,とき,Time
外,そと,outside
力,ちから,Power
物,もの,thing
多,た,Many
岩,いわ,rock
買,ばい,Buy
親,おや,"parent, close"
魚,さかな,fish
方,ほう,direction
話,はなし,"talk, story"
目,め,eye
小,しょう,"little, small"
日,にち,"Day, Sun"
米,こめ,rice
上,うえ,Up
肉,にく,meat
入,にゅう,enter
何,なに,what
長,ちょう,long
牛,うし,Cow
玉,たま,ball
安,あん,"cheap, peaceful"
明,めい,bright
男,おとこ,Male
半,はん,half
鳥,とり,bird
気,き,"spirit, mind"
今,いま,now
南,みなみ,south
夕,ゆう,evening
山,やま,Mountain
書,かき,write
立,りつ,stand
電,でん,electric
草,くさ,grass
分,ふん,"understand, divide, part"
森,もり,forest
出,しゅつ,leave
人,にん,person
行,ぎょう,go
田,た,rice field
